Rep,Isolate,Kombar reaction type,Net blotch form,percent leaf coverage,RT Average,RT St Dev,% Average,% St Dev,CrossSubspecies,CrossParents,Cross Type
1,1,2,S,0.2,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
2,1,1.5,S,0.15,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
3,1,1.5,S,0.1,1.67,0.29,0.15,0.05,PTTxPTM,FGOB10Ptm-1x0-1,Inter
1,2,1.5,S,0.03,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
2,2,1.5,S,0.1,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
3,2,1,S,0.05,1.33,0.29,0.06,0.04,PTTxPTM,FGOB10Ptm-1x0-1,Inter
1,3,1.5,S,0.03,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
2,3,1,S,0.05,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
3,3,1,S,0.03,1.17,0.29,0.04,0.01,PTTxPTM,FGOB10Ptm-1x0-1,Inter
1,4,2,S,0.2,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
2,4,1,S,0.1,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
3,4,1,S,0.05,1.33,0.58,0.12,0.08,PTTxPTM,FGOB10Ptm-1x0-1,Inter
1,5,2.5,S,0.25,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
2,5,2.5,S,0.3,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
3,5,3,S,0.3,2.67,0.29,0.28,0.03,PTTxPTM,FGOB10Ptm-1x0-1,Inter
1,6,1.5,S,0.05,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
2,6,1.5,S,0.15,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
3,6,1.5,S,0.2,1.50,0.00,0.13,0.08,PTTxPTM,FGOB10Ptm-1x0-1,Inter
1,7,4.5,S,0.75,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
2,7,3.5,S,0.4,,,,,PTTxPTM,FGOB10Ptm-1x0-1,Inter
